B-53 WOS_000397419900028,Perfect monochromatic acoustic anti-reflection: A first-principles study
B-28 WOS_000395698600065,Improved Watershed Segmentation with Optimal Scale Based on Ordered Dither Halftone and Mutual Information
B-34 WOS_000393844800098,A Simple Visualization Method to Assign Point for Parallel Coordinates
B-27 WOS_000393420900051,The Influencing Factors of Knowledge Sharing Behavior on College Students in Virtual Communities
B-27 WOS_000393420900048,Research on the Cross-System Collaboration Model of E-Government in China: From the Perspective of System Elements
B-26 WOS_000393154200011,Big Data Knowledge Service Framework based on Knowledge Fusion
B-25 WOS_000393087400073,Discussion of Link-based Web Page Ranking
B-53 WOS_000392835300055,Perfect absorption of low-frequency sound waves by critically coupled subwavelength resonant system
B-53 WOS_000392834600017,Mathematical operations for acoustic signals based on layered labyrinthine metasurfaces
B-98 WOS_000392719200022,Research on Enterprises' Innovation Performance in University-Industry-Government Networks Based on Absorptive Capacity
B-98 WOS_000392719200019,Modeling and Simulation of the Inter-Organizational Knowledge Transfer Impact Factors in Industrial Clusters
B-40 WOS_000392251800181,The calculation and suppression of the AC Grid DC bias current under the monopole operation of UHVDC system
B-25 WOS_000391516000135,Research on Implementation of Thesauri-Ontology Evolution System
B-31 WOS_000391474000007,Amplitude Analysis of the Decays eta ' -> pi(+)pi(-)pi(0) and eta' -> pi(0)pi(0)pi(0)
B-28 WOS_000390842000050,The Influence Factors and Effect Mechanism of Regional Talent Quality - Analysis Based on Multilevel Structure Equation Model
B-40 WOS_000390840300054,Study on Postgraduates' Psychology in Job Hunting
B-26 WOS_000390176700017,An Architecture for Healthcare Big Data Management and Analysis
B-26 WOS_000390176700016,Study on Intelligent Home Care Platform Based on Chronic Disease Knowledge Management
B-69 WOS_000390087500005,Doctoral Dissertations on Tourism in China: A Co-Word Analysis
B-17 WOS_000390087500003,Classical Music Recording Ontology Used in a Library Catalog
B-27 WOS_000389905100041,Open Access and Academic Influence Mechanism Analysis
B-31 WOS_000389505100001,Measurements of the absolute branching fractions for D-s(+) -> eta e(+)nu(e) and D-s(+) -> eta ' e(+)nu(e)
B-17 WOS_000389502300011,Research on the Follow-up Actions of College Students' Mobile Search
B-47 WOS_000389158800010,The Role of Service-provider's Attributes in Sharing Economy: a Data-driven Study from the Perspective of Trust
B-31 WOS_000389144400002,Measurement of the absolute branching fraction of D-vertical bar -> (K)over-bar(0)e(vertical bar) nu(e) via (K)over-bar(0) -> pi(0)pi(0)
B-31 WOS_000389032600001,Measurement of Singly Cabibbo Suppressed Decays Lambda(+)(c) -> p pi(+)pi(-) and Lambda(+)(c) -> pK(+)K(-)
B-30 WOS_000389020100010,Mining Arbitrary Shaped Clusters and Outputting a High Quality Dendrogram
B-40 WOS_000388114602113,EXTRACT SEISMIC DEFORMATION FIELD USING CHINESE OPTICAL SATELLITES
B-25 WOS_000387211700006,Marketing via Micro-film in Chinese Academic Libraries
B-53 WOS_000387100400086,Preparation and Photoelectrochemical Properties of CdS Nanoparticles Using Supercritical Carbon Dioxide
B-53 WOS_000387100400011,Cysteine-Modified Graphene/Gold Nanorod Composites Toward Rhodamine 6G Detection by Surface-Enhanced Raman Scattering
B-40 WOS_000386142900003,Preparation, evaluation, and application of a novel reversed-phase/zwitterionic/hydrophilic interaction liquid chromatographic mixed-mode stationary phase
B-36 WOS_000386102200171,The Principles and Implementations Strategy by Automobile Industrial Heritage Protection of Shiyan, China
B-31 WOS_000385633400001,Observation of J/psi -> gamma eta pi(0)
B-31 WOS_000385632500002,Measurement of the Ds<(+)-> l(+)ve branching fractions and the decay constant fDs+
B-52 WOS_000385610400078,Noninvasive chromosome screening of human embryos by genome sequencing of embryo culture medium for in vitro fertilization
B-40 WOS_000385553100030,Overexpression of Ribosomal RNA in the Development of Human Cervical Cancer Is Associated with rDNA Promoter Hypomethylation
B-53 WOS_000384227700025,An acoustic Maxwell's fish-eye lens based on gradient-index metamaterials
B-90 WOS_000383602000009,Optimization of the subject directory in a government agriculture department web portal
B-28 WOS_000382952700009,Profiling users with tag networks in diffusion-based personalized recommendation
B-23 WOS_000382200100028,Exploring the adoption of digital libraries in the mobile context: The effect of psychological factors and mobile context factors
B-31 WOS_000380961000002,Study of D+ -> K-pi(+)e(+)nu(e)
B-36 WOS_000380527200073,The Principles and Implementations Strategy by Automobile Industrial Heritage Protection-Take an Example of SHIYAN, China
B-11 WOS_000380499700204,Improvement and Empirical Research on Journal's First-Citation-Speed-Index
B-64 WOS_000380499700171,Measuring the Competitive Pressure of Academic Journals and the Competitive Intensity within Subjects
B-33 WOS_000380499700169,Evolutionary Analysis of Collaboration Networks in Scientometrics
B-111 WOS_000380499700140,A Technology Foresight Model: Used for Foreseeing Impelling Technology in Life Science
B-111 WOS_000380499700131,A SAO-based Approach for Technology Evolution Analysis Using Patent Information: A Case Study on Graphene Sensor
B-51 WOS_000380499700028,Differences in Received Citations over Time and Across Fields in China
B-51 WOS_000380499700020,Stratifying Altmetrics Indicators Based On Impact Generation Model
B-58 WOS_000380403800046,Research of Application of mHealth Based on Web2.0
B-50 WOS_000380377700034,Study of Copyright Protection for Merchandise Pictures in E-Commerce
B-52 WOS_000380277700007,How Online Consumer Reviews Affect Our Choice?
B-35 WOS_000380261700006,Research on the Information Integration and Efficiency Performance of "Chinese Government Public Information Online"
B-17 WOS_000379718600004,Adaptive Laplacian Eigenmap-Based Dimension Reduction for Ocean Target Discrimination
B-51 WOS_000379618200005,Herdan-Heaps Law Corresponds to Lotka's Law: A Dynamic Perspective from Simon's Model
B-53 WOS_000378663800031,Efficient Magnetic Resonance Amplification and Near-Field Enhancement from Gain-Assisted Silicon Nanospheres and Nanoshells
B-16 WOS_000378430700003,Role Expectations in Public Digital Cultural Resources Integration Projects
B-95 WOS_000377811000012,An efficient trust negotiation strategy towards the resource-limited mobile commerce environment
B-28 WOS_000377434300048,Effective utilisation of JND for spatial parameters quantisation in 3D multichannel audio
B-56 WOS_000376264000014,y Science Communication and Dissemination in Different Cultures: An Analysis of the Audience for TED Videos in China and Abroad
B-48 WOS_000375924200002,Premartensitic transition and relevant magnetic effects in Ni50Mn34In15.5Al0.5 alloy
B-28 WOS_000375767400016,Enhancing Subject Metadata with Automated Weighting in the Medical Domain: A Comparison of Different Measures
B-52 WOS_000374642800001,Blastomere removal from cleavage-stage mouse embryos alters placental function, which is associated with placental oxidative stress and inflammation
B-31 WOS_000374548000001,Search for the weak decay eta ' -> K-+/-pi(-/+) and precise measurement of the branching fraction B(J/psi -> phi eta ')
B-40 WOS_000373201300129,Status Analysis of Development and Cultivation of Chinese Undergraduate Party Members
